"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS"
"261635224001","26163522400","Block Group 1; Census Tract 5224; Wayne County; Michigan",519,924,262,141,168,43,310,614,2.7533171538213
"261635225001","26163522500","Block Group 1; Census Tract 5225; Wayne County; Michigan",1030,727,100,104,259,224,40,687,3.03454022564677
"261635225002","26163522500","Block Group 2; Census Tract 5225; Wayne County; Michigan",324,715,163,143,124,64,221,494,2.23007780430718
"261635228001","26163522800","Block Group 1; Census Tract 5228; Wayne County; Michigan",326,659,168,152,122,62,155,504,2.2790955399537
"261635228002","26163522800","Block Group 2; Census Tract 5228; Wayne County; Michigan",322,527,125,90,126,68,118,409,1.82792682044122
"261635231001","26163523100","Block Group 1; Census Tract 5231; Wayne County; Michigan",575,1336,411,266,194,77,388,948,4.28549482523741
"261635232001","26163523200","Block Group 1; Census Tract 5232; Wayne County; Michigan",347,989,308,179,154,71,277,712,3.20664692698103
"261635232002","26163523200","Block Group 2; Census Tract 5232; Wayne County; Michigan",422,1147,300,225,162,117,343,804,3.63247605988959
"261635232003","26163523200","Block Group 3; Census Tract 5232; Wayne County; Michigan",388,1111,272,254,149,61,375,736,3.35005419211065
"261635233001","26163523300","Block Group 1; Census Tract 5233; Wayne County; Michigan",372,927,236,218,124,61,288,639,2.907956796582
"261635233002","26163523300","Block Group 2; Census Tract 5233; Wayne County; Michigan",355,1053,288,206,161,83,315,738,3.33286180641508
"261635233003","26163523300","Block Group 3; Census Tract 5233; Wayne County; Michigan",330,934,277,165,136,68,288,646,2.9111593956898
"261635234001","26163523400","Block Group 1; Census Tract 5234; Wayne County; Michigan",830,1246,359,272,231,165,219,1027,4.62760568388958
"261635234002","26163523400","Block Group 2; Census Tract 5234; Wayne County; Michigan",430,950,268,175,142,57,308,642,2.89761591778204
"261635238001","26163523800","Block Group 1; Census Tract 5238; Wayne County; Michigan",248,656,188,128,94,39,207,449,2.03020334051212
"261635238002","26163523800","Block Group 2; Census Tract 5238; Wayne County; Michigan",438,1466,400,284,186,80,516,950,4.30426433413857
